Location,Price,Timestamp
GA,2.9,2021-05-11 22:28:24.014442-04:00
TN,2.77,2021-05-11 22:28:25.190052-04:00
VA,2.83,2021-05-11 22:28:26.857625-04:00
MD,2.92,2021-05-11 22:28:26.988108-04:00
PA,3.09,2021-05-11 22:28:27.881038-04:00
GA,2.9,2021-05-11 22:28:39.406689-04:00
TN,2.77,2021-05-11 22:28:40.449930-04:00
VA,2.83,2021-05-11 22:28:41.549204-04:00
MD,2.92,2021-05-11 22:28:42.257905-04:00
PA,3.09,2021-05-11 22:28:43.064434-04:00
GA,2.9,2021-05-11 22:38:08.361440-04:00
TN,2.78,2021-05-11 22:38:09.166907-04:00
VA,2.83,2021-05-11 22:38:10.120486-04:00
MD,2.92,2021-05-11 22:38:10.916987-04:00
PA,3.09,2021-05-11 22:38:12.096571-04:00
GA,2.91,2021-05-12 07:53:13.049855-04:00
TN,2.79,2021-05-12 07:53:15.067044-04:00
VA,2.85,2021-05-12 07:53:16.305352-04:00
MD,2.93,2021-05-12 07:53:19.804995-04:00
PA,3.09,2021-05-12 07:53:20.795885-04:00
GA,2.91,2021-05-12 08:15:08.161939-04:00
TN,2.79,2021-05-12 08:15:12.511105-04:00
VA,2.85,2021-05-12 08:15:16.075215-04:00
MD,2.93,2021-05-12 08:15:22.737026-04:00
PA,3.1,2021-05-12 08:15:27.002054-04:00
GA,2.91,2021-05-12 08:17:28.741800-04:00
TN,2.8,2021-05-12 08:17:34.440001-04:00
VA,2.85,2021-05-12 08:17:36.191119-04:00
MD,2.93,2021-05-12 08:17:37.373251-04:00
PA,3.09,2021-05-12 08:17:39.180217-04:00
